rank,citation_group,priority_score,status,date,type,title,chapter,next_action,source_note_draft,catalog_url,pdf_url
11,Verify Time and Placement,45,chronology,1993-09-17,Memcon,Memorandum of Conversation - Prime Minister Carlo Ciampi of Italy,NATO-Russia and Partnership,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0755-M, Item 101346. Confidential.",https://clinton.presidentiallibraries.us/items/show/101346,https://clinton.presidentiallibraries.us/files/original/df7541d4f739658b122360c51d75e84f.pdf
12,Verify Time and Placement,45,chronology,1994-01-11,Memcon,Memorandum of Conversation - President Vaclav Havel of the Czech Republic and Czech Leaders,NATO-Russia and Partnership,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release LP-WJC/DOS-16-1, Item 101393. Confidential.",https://clinton.presidentiallibraries.us/items/show/101393,
13,Verify Time and Placement,45,chronology,1994-01-12,Memcon,"Memorandum of Conversation -President Lech Walesa of Poland, President Arpad Goencz of Hungary, President Michal Kovac of Slovakia, and President Vaclav Havel of the Czech Republic",Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release LP-WJC/DOS-16-1, Item 101395. Confidential.",https://clinton.presidentiallibraries.us/items/show/101395,
14,Verify Time and Placement,45,chronology,1994-01-15,Memcon,Memorandum of Conversation - President Otto Stich of Switzerland,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release LP-WJC/DOS-16-1, Item 101396. Confidential.",https://clinton.presidentiallibraries.us/items/show/101396,https://clinton.presidentiallibraries.us/files/original/63f659888b616c4810b985d57888aed3.pdf
15,Verify Time and Placement,45,chronology,1994-01-20,Telcon,Memorandum of Telephone Conversation with President Ulmanis of Latvia,NATO Strategy and Enlargement,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2016-0314-M-2, Item 118919. Confidential.",https://clinton.presidentiallibraries.us/items/show/118919,https://clinton.presidentiallibraries.us/files/original/26cb14efd84422e9b5ca25b66f4a978e.pdf
16,Verify Time and Placement,45,chronology,1994-03-04,Memcon,Memorandum of Conversation - President Leonid Kravchuk of Ukraine,NATO-Russia and Partnership,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2016-0122-M, Item 101354. Confidential.",https://clinton.presidentiallibraries.us/items/show/101354,https://clinton.presidentiallibraries.us/files/original/e75539e8d49947e78cd0c87e88844e51.pdf
17,Verify Time and Placement,45,chronology,1994-04-20,Telcon,Memorandum of Telephone Conversation - Prime Minister Jean Chretien of Canada,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2015-0782-M-1, Item 101384. Secret.",https://clinton.presidentiallibraries.us/items/show/101384,https://clinton.presidentiallibraries.us/files/original/ea81be8195fb6b0d235c200226a74834.pdf
18,Verify Time and Placement,45,chronology,1994-06-21,Memcon,Memorandum of Conversation - President Arpad Goncz of Hungary and President Michal Kovac of Slovakia,NATO Strategy and Enlargement,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0133-M, Item 101379. Confidential.",https://clinton.presidentiallibraries.us/items/show/101379,https://clinton.presidentiallibraries.us/files/original/7929c40c3476895912cb064cb38d65c5.pdf
19,Verify Time and Placement,45,chronology,1994-07-04,Telcon,Memorandum of Telephone Conversation - President Vaclav Havel of the Czech Republic,NATO Strategy and Enlargement,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2015-0773-M, Item 101391. Confidential.",https://clinton.presidentiallibraries.us/items/show/101391,
20,Verify Time and Placement,45,chronology,1994-07-08,Memcon,Memorandum of Conversation between President Clinton and Italian Prime Minister Berlusconi,NATO-Russia and Partnership,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release Declassified documents concerning Rwanda, Item 118984. Confidential.",https://clinton.presidentiallibraries.us/items/show/118984,https://clinton.presidentiallibraries.us/files/original/2d21f03fcf80b2ec322098163e628654.pdf
21,Verify Time and Placement,45,chronology,1994-09-21,Memcon,Memorandum of Conversation - Paris Mayor Jacques Chirac,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2018-0554-M, Item 118498. Confidential.",https://clinton.presidentiallibraries.us/items/show/118498,https://clinton.presidentiallibraries.us/files/original/fea3568c2394a8193554764b958f908f.pdf
22,Verify Time and Placement,45,chronology,1994-09-25,Memcon,Memorandum of Conversation - President Clinton and President Alija Izetbegovic,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2011-0964-M, Item 36589. Extracted from source packet PDF pages 18-25; 8 document pages counted. Review PDF includes a packet annotation sheet. Confidential.",https://clinton.presidentiallibraries.us/items/show/36589,https://clinton.presidentiallibraries.us/files/original/1e07f85597e7a0a171bbd0b1ad67cdf1.pdf
23,Verify Time and Placement,45,chronology,1994-09-27,Telcon,Memorandum of Telephone Conversation - President Francois Mitterrand of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2015-0774-M, Item 101399. Confidential.",https://clinton.presidentiallibraries.us/items/show/101399,https://clinton.presidentiallibraries.us/files/original/d6c55e81db18d4034c9cee4ce7efbdee.pdf
24,Verify Time and Placement,45,chronology,1994-10-22,Memcon,Memorandum of Conversation - President Lech Walesa of Poland,NATO Strategy and Enlargement,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release LP-WJC/DOS-16-1, Item 101397. Confidential.",https://clinton.presidentiallibraries.us/items/show/101397,https://clinton.presidentiallibraries.us/files/original/711e8eeee0ec391e78261641286a753b.pdf
25,Verify Time and Placement,45,chronology,1994-10-22,Memcon,Memorandum of Conversation - Prime Minister Waldemar Pawlak of Poland,NATO Strategy and Enlargement,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release LP-WJC/DOS-16-1, Item 101398. Confidential.",https://clinton.presidentiallibraries.us/items/show/101398,https://clinton.presidentiallibraries.us/files/original/ea89febed2cedbffdbdd847cd14dcb2b.pdf
26,Verify Time and Placement,45,chronology,1994-11-23,Telcon,Memorandum of Telephone Conversation - President Francois Mitterrand of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2015-0774-M, Item 101400. Confidential.",https://clinton.presidentiallibraries.us/items/show/101400,https://clinton.presidentiallibraries.us/files/original/f73c20558bec1e770064d699603c9048.pdf
27,Verify Time and Placement,45,chronology,1994-11-24,Telcon,Memorandum of Telephone Conversation - President Francois Mitterrand of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2015-0774-M, Item 101401. Confidential.",https://clinton.presidentiallibraries.us/items/show/101401,https://clinton.presidentiallibraries.us/files/original/99c05f9dea9e28dbf4866809790da0f2.pdf
28,Verify Time and Placement,45,chronology,1994-12-05,Memcon,Memorandum of Conversation - President Arpad Goncz of Hungary and President Michal Kovac of Slovakia,NATO Strategy and Enlargement,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0133-M, Item 101380. Confidential.",https://clinton.presidentiallibraries.us/items/show/101380,https://clinton.presidentiallibraries.us/files/original/3d7fbd346acab3f002b7fd77406f7e2a.pdf
29,Verify Time and Placement,45,chronology,1994-12-05,Memcon,Memorandum of Conversation - Presidents Izetbegovic and Tudjman,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2011-0964-M, Item 36589. Confidential. Extracted from source packet PDF pages 27-29; 3 document pages counted. Review PDF includes a packet annotation sheet.",https://clinton.presidentiallibraries.us/items/show/36589,https://clinton.presidentiallibraries.us/files/original/1e07f85597e7a0a171bbd0b1ad67cdf1.pdf
30,Verify Time and Placement,45,chronology,1995-03-07,Memcon,Memorandum of Conversation - NATO Secretary General Willy Claes,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Memcons - Memoranda of Conversation, Release 2015-0755-M, Item 101431. Secret. Source pages: 6 pages counted.",https://clinton.presidentiallibraries.us/items/show/101431,https://clinton.presidentiallibraries.us/files/original/d0ded4f90ac23c43251c708836610931.pdf
31,Verify Time and Placement,45,chronology,1995-04-04,Memcon,Memorandum of Conversation - Prime Minister John Major of the United Kingdom,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Memcons - Memoranda of Conversation, Release 2012-0801-M, Item 101436. Confidential. Source pages: 15 pages counted.",https://clinton.presidentiallibraries.us/items/show/101436,https://clinton.presidentiallibraries.us/files/original/1a435ca8beac29930ce93b4f4c697757.pdf
32,Verify Time and Placement,45,chronology,1995-05-27,Telcon,Memorandum of Telephone Conversation - President Jacques Chirac of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Telcons - Memoranda of Telephone Conversation, Release 2017-0775-M, Item 118528. Confidential. Source pages: 4 pages counted.",https://clinton.presidentiallibraries.us/items/show/118528,https://clinton.presidentiallibraries.us/files/original/81dee7e4a731a49f1609b7bde7c782b8.pdf
33,Verify Time and Placement,45,chronology,1995-06-06,Memcon,Memorandum of Conversation - Prime Minister Gyula Horn of Hungary,NATO Strategy and Enlargement,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0779-M, Item 101418. Confidential.",https://clinton.presidentiallibraries.us/items/show/101418,https://clinton.presidentiallibraries.us/files/original/a33276808a3f81e7a2fbf61a6b1cf017.pdf
34,Verify Time and Placement,45,chronology,1995-06-14,Memcon,Memorandum of Conversation - President Jacques Chirac of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Memcons - Memoranda of Conversation, Release 2013-0517-M, Item 101402. Confidential. Source pages: 10 pages counted.",https://clinton.presidentiallibraries.us/items/show/101402,https://clinton.presidentiallibraries.us/files/original/9554ae2a65c3b9422bbbb0b3c8d0db66.pdf
35,Verify Time and Placement,45,chronology,1995-06-16,Memcon,Memorandum of Conversation - Prime Minister John Major of the United Kingdom,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Memcons - Memoranda of Conversation, Release 2012-0801-M, Item 101439. Confidential. Source pages: 3 pages counted.",https://clinton.presidentiallibraries.us/items/show/101439,https://clinton.presidentiallibraries.us/files/original/b50fb932aee0c34e21229c106451da34.pdf
36,Verify Time and Placement,45,chronology,1995-07-13,Telcon,Memorandum of Telephone Conversation - Chancellor Helmut Kohl of Germany,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified documents concerning Bosnia, Release 2013-0517-M, Item 101088. Extracted from source packet PDF pages 35-37; 3 document pages counted. Review PDF includes a packet annotation sheet. Confidential.",https://clinton.presidentiallibraries.us/items/show/101088,https://clinton.presidentiallibraries.us/files/original/9a9ec5fd06f06d2069a286cf7c02fc03.pdf
37,Verify Time and Placement,45,chronology,1995-07-13,Telcon,Memorandum of Telephone Conversation - President Jacques Chirac of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified documents concerning Bosnia, Release 2013-0517-M, Item 101088. Confidential. Extracted from source packet PDF pages 51-55; 5 document pages counted. Review PDF includes a packet annotation sheet.",https://clinton.presidentiallibraries.us/items/show/101088,https://clinton.presidentiallibraries.us/files/original/9a9ec5fd06f06d2069a286cf7c02fc03.pdf
38,Verify Time and Placement,45,chronology,1995-07-19,Telcon,Memorandum of Telephone Conversation - President Jacques Chirac of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified documents concerning Bosnia, Release 2013-0517-M, Item 101088. Confidential. Extracted from source packet PDF pages 66-71; 6 document pages counted. Review PDF includes a packet annotation sheet.",https://clinton.presidentiallibraries.us/items/show/101088,https://clinton.presidentiallibraries.us/files/original/9a9ec5fd06f06d2069a286cf7c02fc03.pdf
39,Verify Time and Placement,45,chronology,1995-07-19,Telcon,Memorandum of Telephone Conversation - Prime Minister John Major of the United Kingdom,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified documents concerning Bosnia, Release 2013-0517-M, Item 101088. Secret. Extracted from source packet PDF pages 76-83; 8 document pages counted. Review PDF includes a packet annotation sheet.",https://clinton.presidentiallibraries.us/items/show/101088,https://clinton.presidentiallibraries.us/files/original/9a9ec5fd06f06d2069a286cf7c02fc03.pdf
40,Verify Time and Placement,45,chronology,1995-07-19,Telcon,Memorandum of Telephone Conversation - Secretary Christopher and Foreign Minister de Charette,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified documents concerning Bosnia, Release 2013-0517-M, Item 101088. Secret. Extracted from source packet PDF pages 2-4; 3 document pages counted. Review PDF includes a packet annotation sheet.",https://clinton.presidentiallibraries.us/items/show/101088,https://clinton.presidentiallibraries.us/files/original/9a9ec5fd06f06d2069a286cf7c02fc03.pdf
41,Verify Time and Placement,45,chronology,1995-07-20,Telcon,Memorandum of Telephone Conversation - President Clinton and President Alija Izetbegovic,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2011-0964-M, Item 36589. Extracted from source packet PDF pages 32-34; 3 document pages counted. Review PDF includes a packet annotation sheet. Confidential.",https://clinton.presidentiallibraries.us/items/show/36589,https://clinton.presidentiallibraries.us/files/original/1e07f85597e7a0a171bbd0b1ad67cdf1.pdf
42,Verify Time and Placement,45,chronology,1995-07-20,Telcon,Memorandum of Telephone Conversation - President Jacques Chirac of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified documents concerning Bosnia, Release 2013-0517-M, Item 101088. Confidential. Extracted from source packet PDF pages 93-95; 3 document pages counted. Review PDF includes a packet annotation sheet.",https://clinton.presidentiallibraries.us/items/show/101088,https://clinton.presidentiallibraries.us/files/original/9a9ec5fd06f06d2069a286cf7c02fc03.pdf
43,Verify Time and Placement,45,chronology,1995-07-24,Telcon,Memorandum of Telephone Conversation - President Jacques Chirac of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2017-0775-M, Item 118529. Confidential.",https://clinton.presidentiallibraries.us/items/show/118529,https://clinton.presidentiallibraries.us/files/original/8c1594df3181403f8ae652dad9856ddf.pdf
44,Verify Time and Placement,45,chronology,1995-08-07,Telcon,Memorandum of Telephone Conversation - President Jacques Chirac of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Telcons - Memoranda of Telephone Conversation, Release 2017-0775-M, Item 118530. Confidential. Source pages: 3 pages counted.",https://clinton.presidentiallibraries.us/items/show/118530,https://clinton.presidentiallibraries.us/files/original/cc683224fd33203efd308e802bcaa400.pdf
45,Verify Time and Placement,45,chronology,1995-10-21,Memcon,Memorandum of Conversation - President Vaclav Havel of the Czech Republic,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0773-M, Item 101427. Confidential.",https://clinton.presidentiallibraries.us/items/show/101427,
46,Verify Time and Placement,45,chronology,1995-10-23,Memcon,Memorandum of Conversation - Clinton-Yeltsin One-on-One at Hyde Park,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Clinton NSC Records Management Office, 2014-0948-M, NAID 163545436. Extracted from source packet PDF pages 5-16; 12 document pages counted. Review PDF includes a packet annotation sheet. Secret; Nodis.",https://catalog.archives.gov/id/163545436,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf
47,Verify Time and Placement,45,chronology,1995-10-23,Memcon,Memorandum of Conversation - Lunch with President Boris Yeltsin,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Clinton NSC Records Management Office, 2014-0948-M, NAID 163545436. Secret. Extracted from source packet PDF pages 31-35; 5 document pages counted. Review PDF includes a packet annotation sheet.",https://catalog.archives.gov/id/163545436,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/7-YeltsinHydePark.pdf
48,Verify Time and Placement,45,chronology,1995-10-24,Memcon,Memorandum of Conversation - Presidents Izetbegovic and Tudjman,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2011-0964-M, Item 36589. Secret. Extracted from source packet PDF pages 37-43; 7 document pages counted. Review PDF includes a packet annotation sheet.",https://clinton.presidentiallibraries.us/items/show/36589,https://clinton.presidentiallibraries.us/files/original/1e07f85597e7a0a171bbd0b1ad67cdf1.pdf
49,Verify Time and Placement,45,chronology,1995-11-21,Telcon,Memorandum of Telephone Conversation - President Lech Walesa of Poland,NATO Strategy and Enlargement,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2015-0769-M, Item 101446. Confidential.",https://clinton.presidentiallibraries.us/items/show/101446,https://clinton.presidentiallibraries.us/files/original/4cd21c7557486b30f58af921b469a5b4.pdf
50,Verify Time and Placement,45,chronology,1995-12-03,Memcon,Memorandum of Conversation with Spanish Prime Minister Felipe Gonzalez,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Memcons - Memoranda of Conversation, Release 2015-0548-M, Item 118881. Confidential. Source pages: 10 pages counted.",https://clinton.presidentiallibraries.us/items/show/118881,https://clinton.presidentiallibraries.us/files/original/af632a0ca106bdddd19d802cd3a5ba6e.pdf
51,Verify Time and Placement,45,chronology,1995-12-14,Memcon,Memorandum of Conversation - President Jacques Chirac of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Memcons - Memoranda of Conversation, Release 2017-0775-M, Item 118556. No classification marking. Source pages: 6 pages counted.",https://clinton.presidentiallibraries.us/items/show/118556,https://clinton.presidentiallibraries.us/files/original/28b500a860ad0aecee40dd23978f6a85.pdf
52,Verify Time and Placement,45,chronology,1995-12-14,Memcon,Memorandum of Conversation - Pull-Aside with President Alija Izetbegovic,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2011-0964-M, Item 36589. Confidential. Extracted from source packet PDF pages 55-57; 3 document pages counted. Review PDF includes a packet annotation sheet.",https://clinton.presidentiallibraries.us/items/show/36589,https://clinton.presidentiallibraries.us/files/original/1e07f85597e7a0a171bbd0b1ad67cdf1.pdf
53,Verify Time and Placement,45,chronology,1995-12-14,Memcon,Memorandum of Conversation - Pull-Aside with President Franjo Tudjman,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2011-0964-M, Item 36589. Confidential. Extracted from source packet PDF pages 52-53; 2 document pages counted. Review PDF includes a packet annotation sheet.",https://clinton.presidentiallibraries.us/items/show/36589,https://clinton.presidentiallibraries.us/files/original/1e07f85597e7a0a171bbd0b1ad67cdf1.pdf
54,Verify Time and Placement,45,chronology,1995-12-14,Memcon,Memorandum of Conversation - Pull-Aside with President Slobodan Milosevic,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2011-0964-M, Item 36589. Confidential. Extracted from source packet PDF pages 59-61; 3 document pages counted. Review PDF includes a packet annotation sheet.",https://clinton.presidentiallibraries.us/items/show/36589,https://clinton.presidentiallibraries.us/files/original/1e07f85597e7a0a171bbd0b1ad67cdf1.pdf
